,0,1,2,3,4,5,6,7,8,9,11,12,13,14,15
53,54,EHPL,367.90,375.00,381.00,358.00,"14,228","5,180,220.2",137,367.90(-6.9) ,374.80,364.09,508.00,273.00,"2,280.98"
54,55,ENL,890.00,911.40,930.00,858.70,"22,380","19,847,096",163,890.00(-40) ,930.00,886.82,"1,060.00",545.10,"4,944.84"
55,56,FMDBL,666.00,675.00,694.00,664.00,"24,831","16,745,655.6",222,666.00(-22) ,688.00,674.39,781.00,497.20,"7,643.99"
56,57,FOWAD,"1,225.00","1,233.00","1,257.60","1,201.00","15,399","18,834,141.4",219,"1,225.00(15) ","1,210.00","1,223.08","2,399.00",974.00,"12,930.66"
57,58,GBBD85,928.20,910.00,928.20,910.00,305,"281,158.5",11,928.20(18.2) ,910.00,921.83,"1,000.00",744.10,-
58,59,GBBL,411.00,432.40,432.40,411.00,"183,208","77,141,789.5",957,411.00(-13) ,424.00,421.06,432.40,330.00,"21,321.39"
59,60,GBD80/81,"1,040.50","1,025.00","1,040.50","1,020.10",500,"516,339",5,"1,040.50(10.5) ","1,030.00","1,032.68","1,075.00",953.40,"107,280.92"
60,61,GBILD86/87,858.00,858.00,858.00,858.00,25,"21,450",1,858.00(-17) ,875.00,858.00,880.00,730.00,-
61,62,GBIME,207.00,213.00,213.00,206.00,"180,068","37,535,302.9",687,207.00(-4) ,211.00,208.45,241.90,176.00,"74,786.55"
62,63,GBLBS,557.00,598.00,599.00,557.00,"12,456","7,100,950.8",142,557.00(-40.7) ,597.70,570.08,760.00,427.00,"5,472.52"
63,64,GCIL,575.00,573.90,580.00,555.00,"268,407","152,350,509.4","3,379",570.00(-3.9) ,573.90,567.61,590.00,363.10,"22,838.43"
64,65,GFCL,453.20,461.00,469.00,453.20,"14,946","6,856,226",82,453.20(-16.8) ,470.00,458.73,565.00,375.00,"4,287.79"
65,66,GHL,167.10,181.00,181.00,167.10,"122,846","21,165,960.9",465,167.10(-10.9) ,178.00,172.30,309.00,120.00,"2,757.15"
66,67,GIBF1,8.35,8.24,8.35,8.00,"17,600","145,196",23,8.35(-0.05) ,8.40,8.25,9.70,7.20,856.51
67,68,GILB,858.00,869.10,876.00,845.00,"8,885","7,599,377.7",116,858.00(-27) ,885.00,855.30,"1,392.00",665.10,"5,310.16"
68,69,GLBSL,720.10,726.20,740.00,720.10,"1,039","759,448.6",20,720.10(-20.9) ,741.00,730.94,"1,011.20",589.10,730.18
69,70,GLH,250.00,260.00,267.50,248.00,"48,042","12,342,279.6",246,250.00(-9.9) ,259.90,256.91,370.00,194.60,"4,500.00"
70,71,GMFBS,755.80,741.00,755.80,741.00,484,"364,219",11,755.80(0) ,755.80,752.52,981.00,641.00,"1,145.45"
71,72,GMFIL,372.10,395.00,395.00,372.10,"23,082","8,708,483.9",88,372.10(-15.9) ,388.00,377.28,427.00,277.00,"3,766.31"
